Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Matthew Hayden,12,12,572,0,5,89
Jean-Paul Duminy,13,12,372,0,5,62
Tillakaratne Dilshan,14,13,418,0,4,67
Herschelle Gibbs,14,14,371,0,4,69
Adam Gilchrist,16,16,495,0,3,85
AB de Villiers,15,13,465,0,3,105
Brad Hodge,12,12,365,0,3,73
Jacques Kallis,15,15,361,0,3,69
Suresh Raina,14,14,434,1,2,98
Sachin Tendulkar,13,13,364,0,2,68
Yuvraj Singh,14,14,340,0,2,58
Kumar Sangakkara,14,13,332,0,2,60
MS Dhoni,14,13,332,0,2,58
Brendon McCullum,13,13,285,0,2,84
Sanath Jayasuriya,12,12,221,0,2,52
