Batter,MATCHES,INNS,RUNS,Avg,NO
Kevin Pietersen,7,7,236,59.00,3
Owais Shah,5,5,115,57.50,3
Shaun Marsh,4,4,147,49.00,1
Jacques Kallis,16,16,572,47.67,4
Sachin Tendulkar,15,15,618,47.54,2
Suresh Raina,16,16,520,47.27,5
Adam Voges,9,7,181,45.25,3
Mahela Jayawardene,13,13,439,43.90,3
Paul Collingwood,8,7,203,40.60,2
Mithun Manhas,9,8,157,39.25,4
Sourav Ganguly,14,14,493,37.92,1
Shane Watson,6,5,185,37.00,0
Murali Vijay,15,15,458,35.23,2
Irfan Pathan,14,13,276,34.50,5
Tirumalsetti Suman,14,14,307,34.11,5
