Batter,MATCHES,INNS,RUNS,Avg,SR
James Faulkner,13,12,181,45.25,192.55
Glenn Maxwell,16,16,552,34.50,187.76
Yusuf Pathan,15,12,268,29.78,162.42
AB de Villiers,14,13,395,35.91,158.63
Ryan ten Doeschate,10,7,52,13.00,157.58
Shakib Al Hasan,13,11,227,32.43,149.34
David Miller,16,16,446,44.60,149.16
MS Dhoni,16,15,371,74.20,148.40
Kedar Jadhav,10,10,149,29.80,147.52
Corey Anderson,12,11,265,29.44,146.41
Suresh Raina,16,16,523,40.23,145.68
Wriddhiman Saha,17,13,362,32.91,145.38
Virender Sehwag,17,17,455,26.76,144.44
Naman Ojha,11,10,232,38.67,144.10
Karun Nair,11,11,330,33.00,142.24
