PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
David Warner,12,12,692,69.20,143.87,57,21
KL Rahul,14,14,593,53.91,135.39,49,25
Quinton de Kock,16,16,529,35.27,132.91,45,25
Shikhar Dhawan,16,16,521,34.73,135.68,64,11
Andre Russell,14,13,510,56.67,204.82,31,52
Chris Gayle,13,13,490,40.83,153.61,45,34
Rishabh Pant,16,16,488,37.54,162.67,37,27
Virat Kohli,14,14,464,33.14,141.46,46,13
Shreyas Iyer,16,16,463,30.87,119.95,41,14
Jonny Bairstow,10,10,445,55.62,157.24,48,18
AB de Villiers,13,13,442,44.20,154.01,31,26
Suryakumar Yadav,16,15,424,32.62,130.86,45,10
MS Dhoni,15,12,416,83.20,134.63,22,23
Rohit Sharma,15,15,405,28.93,128.57,52,10
Chris Lynn,13,13,405,31.15,139.66,41,22
