PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Imran Tahir,17,64.2,386,26,16.58,431,2,0
Kagiso Rabada,12,47.0,282,25,14.72,368,2,0
Deepak Chahar,17,64.3,387,22,21.91,482,0,0
Shreyas Gopal,14,48.0,288,20,17.35,347,0,0
Jasprit Bumrah,16,61.4,370,19,21.53,409,0,0
Khaleel Ahmed,9,34.5,209,19,15.11,287,0,0
Mohammed Shami,14,54.0,324,19,24.68,469,0,0
Yuzvendra Chahal,14,49.2,296,18,21.44,386,1,0
Rashid Khan,15,60.0,360,17,22.18,377,0,0
Harbhajan Singh,11,44.0,264,16,19.50,312,0,0
Lasith Malinga,12,44.5,269,16,27.38,438,2,0
Ravindra Jadeja,16,54.0,324,15,22.87,343,0,0
Ravichandran Ashwin,14,55.0,330,15,26.67,400,0,0
Hardik Pandya,16,42.3,255,14,27.86,390,0,0
Rahul Chahar,13,47.0,282,13,23.69,308,0,0
