Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Andre Russell,Mumbai Indians,2.0,15,5,5-15,0,7.50
Harshal Patel,Mumbai Indians,4.0,27,5,5-27,0,6.75
Arshdeep Singh,Rajasthan Royals,4.0,32,5,5-32,0,8.00
Deepak Chahar,Punjab Kings,4.0,13,4,4-13,1,3.25
Nathan Coulter-Nile,Rajasthan Royals,4.0,14,4,4-14,0,3.50
Harshal Patel,Mumbai Indians,3.1,17,4,4-17,0,5.48
Sunil Narine,Royal Challengers Bengaluru,4.0,21,4,4-21,0,5.25
Shivam Mavi,Rajasthan Royals,3.1,21,4,4-21,0,6.77
Chris Morris,Kolkata Knight Riders,4.0,23,4,4-23,0,5.75
Amit Mishra,Mumbai Indians,4.0,24,4,4-24,0,6.00
Rahul Chahar,Kolkata Knight Riders,4.0,27,4,4-27,0,6.75
Deepak Chahar,Kolkata Knight Riders,4.0,29,4,4-29,0,7.25
Jason Holder,Mumbai Indians,4.0,52,4,4-52,0,13.00
Shahbaz Ahmed,Sunrisers Hyderabad,2.0,7,3,3-7,0,3.50
Moeen Ali,Rajasthan Royals,3.0,7,3,3-7,0,2.33
