Bowler,MATCHES,OVERS,WKTS,Avg
Mayank Yadav,4,12.1,7,12.14
Matheesha Pathirana,6,22.0,13,13.00
Andre Russell,14,29.2,19,15.53
Jasprit Bumrah,13,51.5,20,16.80
Varun Chakaravarthy,14,50.0,21,19.14
Ravisrinivasan Sai Kishore,5,15.0,7,19.57
Sandeep Warrier,5,11.0,6,19.83
Harshal Patel,14,49.0,24,19.88
Harshit Rana,12,42.1,19,20.16
Kuldeep Sen,3,12.0,6,20.33
Nandre Burger,5,17.0,7,20.71
Glenn Maxwell,10,16.0,6,21.50
Mukesh Kumar,10,35.3,17,21.65
Sunil Narine,14,55.0,17,21.65
Swapnil Singh,7,15.0,6,22.17
