Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Jasprit Bumrah,13,51.5,13,20,6.48,16.80,15.55
Sunil Narine,14,55.0,14,17,6.69,21.65,19.41
Axar Patel,14,44.0,14,11,7.66,30.64,24.00
Matheesha Pathirana,6,22.0,6,13,7.68,13.00,10.15
Varun Chakaravarthy,14,50.0,14,21,8.04,19.14,14.29
Sandeep Sharma,10,38.0,10,13,8.18,23.92,17.54
Trent Boult,15,53.2,15,16,8.31,27.69,20.00
Rashid Khan,12,43.4,12,10,8.40,36.70,26.20
Cameron Green,13,35.1,13,10,8.62,30.30,21.10
Kuldeep Yadav,11,43.0,11,16,8.65,23.25,16.12
Ravi Bishnoi,14,43.4,14,10,8.77,38.30,26.20
Tushar Deshpande,13,48.0,13,17,8.83,24.94,16.94
Kagiso Rabada,11,42.0,11,11,8.86,33.82,22.91
Piyush Chawla,11,35.0,11,13,8.91,24.00,16.15
Rahul Chahar,9,31.0,9,10,9.00,27.90,18.60
