Bowler,MATCHES,OVERS,WKTS,SR
Andre Russell,14,29.2,19,9.26
Matheesha Pathirana,6,22.0,13,10.15
Mayank Yadav,4,12.1,7,10.43
Sandeep Warrier,5,11.0,6,11.00
Kuldeep Sen,3,12.0,6,12.00
Harshal Patel,14,49.0,24,12.25
Mukesh Kumar,10,35.3,17,12.53
Ravisrinivasan Sai Kishore,5,15.0,7,12.86
Harshit Rana,12,42.1,19,13.32
Varun Chakaravarthy,14,50.0,21,14.29
Nandre Burger,5,17.0,7,14.57
Mustafizur Rahman,9,34.2,14,14.71
Mitchell Starc,13,41.5,17,14.76
Swapnil Singh,7,15.0,6,15.00
Sam Curran,13,41.0,16,15.38
