Batter,RUNS,Balls,SR,Vs,4s,6s
Abhishek Sharma,141,55,256.36,Punjab Kings,14,10
Rishabh Pant,118,61,193.44,Royal Challengers Bengaluru,11,8
Mitchell Marsh,117,64,182.81,Gujarat Titans,10,8
KL Rahul,112,65,172.31,Gujarat Titans,14,4
Sai Sudharsan,108,61,177.05,Delhi Capitals,12,4
Ishan Kishan,106,47,225.53,Rajasthan Royals,11,6
Heinrich Klaasen,105,39,269.23,Kolkata Knight Riders,7,9
Priyansh Arya,103,42,245.24,Chennai Super Kings,7,9
Vaibhav Sooryavanshi,101,38,265.79,Gujarat Titans,7,11
Shreyas Iyer,97,42,230.95,Gujarat Titans,5,9
Jos Buttler,97,54,179.63,Delhi Capitals,11,4
Quinton de Kock,97,61,159.02,Rajasthan Royals,8,6
Riyan Parag,95,45,211.11,Kolkata Knight Riders,6,8
Ishan Kishan,94,48,195.83,Royal Challengers Bengaluru,7,5
Ayush Mhatre,94,48,195.83,Royal Challengers Bengaluru,9,5
