POS,Unnamed: 1,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,,GT,14,10,4,0,0.809,2450/268.1,2326/279.2,20,WWLWW
2,,CSK,14,8,5,1,0.652,2369/254.3,2232/257.5,17,WLWWN
3,,LSG,14,8,5,1,0.284,2253/255.2,2216/259.3,17,WWWLN
4,,MI,14,8,6,0,-0.044,2592/270.3,2620/272.1,16,WLWWL
5,,RR,14,7,7,0,0.148,2419/272.1,2389/273.2,14,WLWLL
6,,RCB,14,7,7,0,0.135,2502/275.4,2435/272.2,14,LWWLL
7,,KKR,14,6,8,0,-0.239,2463/274.3,2432/264.0,12,LWLWW
8,,PBKS,14,6,8,0,-0.304,2518/275.3,2564/271.3,12,LLWLL
9,,DC,14,5,9,0,-0.808,2182/276.0,2424/278.1,10,LWLLW
10,,SRH,14,4,10,0,-0.59,2376/277.1,2486/271.2,8,LLLLW
